labels	start	stop
noise	0.0	7.42
speech	7.42	23.900000000000002
noise	23.900000000000002	69.04
speech	69.04	74.42
noEnergy	74.42	75.14
speech	75.14	75.88
noEnergy	75.88	82.58
speech	82.58	82.98
noEnergy	82.98	84.32000000000001
noise	84.32000000000001	88.86
noEnergy	88.86	92.76
noise	92.76	111.42
speech	111.42	115.58
noise	115.58	118.46000000000001
speech	118.46000000000001	130.66
noise	130.66	136.66
speech	136.66	147.0
noise	147.0	159.8
speech	159.8	167.12
noise	167.12	171.9
speech	171.9	174.74
noise	174.74	230.0
speech	230.0	240.38
noEnergy	240.38	244.1
speech	244.1	263.84000000000003
noise	263.84000000000003	341.88
speech	341.88	348.34000000000003
noise	348.34000000000003	354.08
speech	354.08	373.62
noise	373.62	378.28000000000003
speech	378.28000000000003	382.78000000000003
noEnergy	382.78000000000003	383.74
speech	383.74	389.48
noEnergy	389.48	391.1
speech	391.1	396.2
noEnergy	396.2	397.08
speech	397.08	398.0
noEnergy	398.0	399.1
noise	399.1	400.14
noEnergy	400.14	401.72
noise	401.72	403.24
noEnergy	403.24	404.04
noise	404.04	456.58
speech	456.58	458.52
noise	458.52	462.94
speech	462.94	466.02
noise	466.02	468.66
speech	468.66	470.04
noise	470.04	473.38
speech	473.38	475.76
noise	475.76	480.26
speech	480.26	493.36
noise	493.36	497.2
speech	497.2	520.66
noEnergy	520.66	521.1
speech	521.1	535.52
noise	535.52	538.34
noEnergy	538.34	540.34
speech	540.34	560.58
noise	560.58	567.92
speech	567.92	570.22
noise	570.22	598.46
speech	598.46	644.38
noise	644.38	657.38
speech	657.38	663.26
noise	663.26	666.76
speech	666.76	669.54
noise	669.54	673.04
speech	673.04	679.16
noEnergy	679.16	680.66
speech	680.66	681.0
noEnergy	681.0	682.28
speech	682.28	688.1
noEnergy	688.1	688.78
noise	688.78	689.54
noEnergy	689.54	692.92
speech	692.92	695.24
noEnergy	695.24	695.7
speech	695.7	696.54
noEnergy	696.54	699.24
speech	699.24	701.62
noEnergy	701.62	702.26
speech	702.26	702.96
noEnergy	702.96	704.78
speech	704.78	715.62
noEnergy	715.62	717.1
speech	717.1	725.9
noEnergy	725.9	729.16
speech	729.16	731.36
noEnergy	731.36	732.0
speech	732.0	735.5
noEnergy	735.5	735.98
speech	735.98	739.2
noEnergy	739.2	740.64
speech	740.64	742.98
noEnergy	742.98	744.46
noise	744.46	745.0600000000001
noEnergy	745.0600000000001	746.48
speech	746.48	747.04
noEnergy	747.04	754.3000000000001
noise	754.3000000000001	756.28
speech	756.28	760.88
noEnergy	760.88	762.28
speech	762.28	764.2
noEnergy	764.2	766.44
speech	766.44	771.1800000000001
noEnergy	771.1800000000001	771.9200000000001
speech	771.9200000000001	772.52
noEnergy	772.52	773.28
speech	773.28	775.08
noise	775.08	776.4
noEnergy	776.4	778.64
speech	778.64	783.32
noise	783.32	792.94
speech	792.94	797.0600000000001
noEnergy	797.0600000000001	798.26
noise	798.26	803.0
speech	803.0	803.88
noise	803.88	806.48
speech	806.48	815.02
noEnergy	815.02	816.24
speech	816.24	819.38
music	819.38	822.0
noise	822.0	825.28
speech	825.28	834.1
noise	834.1	839.6800000000001
speech	839.6800000000001	841.82
noise	841.82	845.3000000000001
speech	845.3000000000001	850.46
noise	850.46	852.46
speech	852.46	855.4200000000001
noise	855.4200000000001	858.7
speech	858.7	861.44
noise	861.44	868.44
speech	868.44	880.8000000000001
noise	880.8000000000001	888.66
speech	888.66	890.58
noise	890.58	894.1
speech	894.1	895.0600000000001
