labels	start	stop
speech	0.0	1.82
noise	1.82	8.06
speech	8.06	12.36
noise	12.36	22.72
speech	22.72	24.64
noise	24.64	30.22
speech	30.22	31.1
noise	31.1	33.96
speech	33.96	36.74
noise	36.74	45.9
speech	45.9	47.22
noise	47.22	104.74000000000001
speech	104.74000000000001	105.64
noise	105.64	107.60000000000001
speech	107.60000000000001	134.94
noise	134.94	140.28
speech	140.28	177.28
noise	177.28	194.28
speech	194.28	196.5
noise	196.5	200.92000000000002
speech	200.92000000000002	213.24
noise	213.24	214.98000000000002
speech	214.98000000000002	217.84
noise	217.84	226.92000000000002
speech	226.92000000000002	237.34
noise	237.34	301.54
speech	301.54	307.42
noise	307.42	313.76
speech	313.76	317.98
noise	317.98	319.44
speech	319.44	327.92
noise	327.92	330.32
speech	330.32	332.66
noise	332.66	336.02
speech	336.02	337.04
noise	337.04	340.74
speech	340.74	356.76
noise	356.76	392.5
speech	392.5	401.64
noise	401.64	413.48
speech	413.48	419.74
noise	419.74	422.72
speech	422.72	424.82
noise	424.82	431.46000000000004
speech	431.46000000000004	432.28000000000003
noise	432.28000000000003	437.90000000000003
speech	437.90000000000003	440.82
noise	440.82	448.5
speech	448.5	459.48
noise	459.48	474.0
speech	474.0	474.96000000000004
noise	474.96000000000004	485.94
speech	485.94	487.98
noise	487.98	495.62
speech	495.62	499.3
noise	499.3	505.02000000000004
speech	505.02000000000004	507.8
noise	507.8	511.18
speech	511.18	517.82
noise	517.82	585.42
speech	585.42	593.3000000000001
noise	593.3000000000001	596.14
speech	596.14	609.86
noise	609.86	611.54
speech	611.54	616.88
noise	616.88	620.38
speech	620.38	627.42
noise	627.42	629.08
speech	629.08	637.88
noise	637.88	654.2
speech	654.2	655.16
noise	655.16	664.7
speech	664.7	678.92
noise	678.92	681.96
speech	681.96	685.6800000000001
noise	685.6800000000001	687.82
speech	687.82	690.5
noise	690.5	692.94
speech	692.94	695.32
noise	695.32	700.28
speech	700.28	703.92
noise	703.92	728.94
speech	728.94	733.34
noise	733.34	769.76
speech	769.76	770.7
noise	770.7	775.0600000000001
speech	775.0600000000001	780.02
noise	780.02	781.7
speech	781.7	783.66
noise	783.66	785.32
speech	785.32	790.84
noise	790.84	797.54
speech	797.54	798.96
noise	798.96	802.22
speech	802.22	807.04
noise	807.04	813.0
speech	813.0	815.36
noise	815.36	820.66
speech	820.66	822.26
noise	822.26	825.58
speech	825.58	826.62
noise	826.62	837.82
speech	837.82	838.84
noise	838.84	856.34
speech	856.34	857.98
noise	857.98	861.72
speech	861.72	864.7
