labels	start	stop
noEnergy	0.0	0.88
noise	0.88	3.24
speech	3.24	4.5600000000000005
noEnergy	4.5600000000000005	5.14
noise	5.14	7.6000000000000005
speech	7.6000000000000005	12.58
noise	12.58	18.2
speech	18.2	39.78
noise	39.78	45.18
noEnergy	45.18	46.160000000000004
speech	46.160000000000004	68.42
noise	68.42	73.44
noEnergy	73.44	74.0
noise	74.0	82.94
speech	82.94	84.9
noise	84.9	86.34
noEnergy	86.34	88.0
noise	88.0	88.46000000000001
noEnergy	88.46000000000001	89.34
noise	89.34	92.2
noEnergy	92.2	93.28
noise	93.28	101.7
noEnergy	101.7	102.2
noise	102.2	116.2
noEnergy	116.2	116.60000000000001
speech	116.60000000000001	120.5
noise	120.5	122.16
noEnergy	122.16	123.52
noise	123.52	124.68
noEnergy	124.68	125.7
noise	125.7	128.52
noEnergy	128.52	129.52
noise	129.52	135.7
noEnergy	135.7	136.36
noise	136.36	144.36
noEnergy	144.36	145.04
speech	145.04	234.0
noise	234.0	243.16
speech	243.16	246.06
noise	246.06	251.86
speech	251.86	327.36
noise	327.36	333.96
speech	333.96	335.2
noise	335.2	338.82
speech	338.82	342.28000000000003
noise	342.28000000000003	361.32
noEnergy	361.32	362.14
noise	362.14	375.68
speech	375.68	379.74
noise	379.74	408.22
noEnergy	408.22	409.82
noise	409.82	411.0
speech	411.0	413.96000000000004
noEnergy	413.96000000000004	414.84000000000003
noise	414.84000000000003	418.66
speech	418.66	426.04
noEnergy	426.04	427.06
noise	427.06	427.74
noEnergy	427.74	429.52
noise	429.52	433.18
noEnergy	433.18	433.82
noise	433.82	447.40000000000003
noEnergy	447.40000000000003	448.36
noise	448.36	451.08
speech	451.08	452.08
noise	452.08	465.06
speech	465.06	466.34000000000003
noise	466.34000000000003	468.04
noEnergy	468.04	468.62
noise	468.62	472.02
speech	472.02	474.62
noise	474.62	483.12
speech	483.12	530.46
noise	530.46	540.46
speech	540.46	609.96
noise	609.96	613.08
speech	613.08	615.1
noise	615.1	618.7
speech	618.7	632.44
noise	632.44	635.44
noEnergy	635.44	636.66
noise	636.66	648.66
noEnergy	648.66	649.14
noise	649.14	663.24
noEnergy	663.24	663.7
noise	663.7	684.94
noEnergy	684.94	685.52
music	685.52	686.64
speech	686.64	697.4
noise	697.4	699.12
speech	699.12	740.88
noise	740.88	766.98
noEnergy	766.98	767.4200000000001
noise	767.4200000000001	770.7
noEnergy	770.7	772.22
speech	772.22	823.58
noise	823.58	827.76
noEnergy	827.76	828.38
noise	828.38	840.94
speech	840.94	849.98
noEnergy	849.98	850.84
noise	850.84	852.24
noEnergy	852.24	854.02
noise	854.02	863.26
noEnergy	863.26	863.78
noise	863.78	865.88
speech	865.88	878.48
noise	878.48	882.52
speech	882.52	894.46
noise	894.46	897.48
speech	897.48	902.96
noise	902.96	904.86
speech	904.86	919.94
